YEARS;JAN;FEV;MAR;AVR;MAI;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1980;14,86;15,96;16,04;15,43;13,79;12,2;10,1;7,98;7,67;9,18;11,38;13,59
1981;14,91;15,6;15,63;15,01;13,8;12,43;10,27;7,84;7,14;8,86;10,93;13,34
1982;15,18;15,97;16,04;15,47;13,97;12,48;10,37;8,14;7,3;9,42;11,63;13,64
1983;14,94;16,01;16,09;15,17;13,49;12,3;10,57;8,19;7,39;9,33;11,46;13,3
1984;14,47;15,3;15,58;15,01;13,58;12,15;9,98;7,77;6,81;8,56;10,84;12,99
1985;14,72;15,47;15,89;15,36;14,07;12,22;9,74;7,4;6,7;8,55;11,02;13,05
1986;14,89;15,78;15,91;15,06;13,38;11,98;10,15;7,98;7,41;9,48;11,45;13,22
1987;14,97;16,05;15,82;15,21;13,74;12,49;10,33;7,63;7,28;9,05;11,22;
1988;;15,58;15,96;15,12;13,56;11,94;9,81;7,89;7,37;9,13;11,33;13,63
1989;14,95;15,5;15,42;14,33;13,04;12,24;10,13;7,88;7,01;8,83;11,12;13,39
1990;14,78;15,58;15,87;14,65;13,23;11,64;9,25;6,8;6,14;8,48;11,08;13,11
1991;14,36;15,25;15,42;14,86;13,47;12,11;9,51;7,42;6,47;8,54;10,88;12,95
1992;14,64;15,46;15,48;14,68;13,22;12,15;10,32;7,93;7,47;9,32;11,38;13,41
1993;14,9;15,69;15,81;15,08;13,37;11,87;9,48;7,33;6,4;8,79;11,32;13,32
1994;14,73;15,56;15,55;14,89;13,62;12,02;9,93;7,64;7,14;8,92;11,12;13,27
1995;14,59;15,23;15,26;14,45;12,97;11,44;8,99;6,74;6,08;7,83;10,76;12,92
1996;14,18;15,15;15,12;14,22;13,09;12,08;10,16;8,18;7,58;9,16;10,4;12,86
1997;14,42;15,44;15,47;14,56;13,18;11,74;9,41;7,29;6,69;8,34;10,68;13,08
1998;14,72;15,75;15,6;14,89;13,59;11,71;9,42;7,51;6,54;8,45;10,44;12,76
1999;14,36;15,31;15,4;15,08;13,75;11,78;9,49;7,23;6,12;8,6;10,8;12,64
2000;14,22;15,14;15,22;14,56;13,15;11,67;9,51;7,17;6,25;8,38;10,32;12,64
2001;14,2;15,21;15,52;14,86;13,51;11,46;9,07;7,46;6,73;8,3;10,66;12,49
2002;14,27;15,34;15,35;14,3;12,97;11,58;9,27;6,6;5,83;8,16;10,34;12,61
2003;14,39;15,19;15,48;14,51;13,02;11,6;9,21;6,94;6,12;7,85;10,13;12,59
2004;14,03;14,91;14,99;13,99;12,56;11,45;9,43;6,85;5,98;7,93;10,34;12,55
2005;13,66;14,37;14,69;14,09;12,91;11,16;8,65;6,3;5,5;7,35;10,22;12,23
2006;13,47;14,32;14,42;13,91;12,52;10,92;8,46;6,5;5,86;7,54;9,66;11,95
2007;13,7;14,51;14,54;13,85;12,78;11,22;7,94;5,34;4,27;6,04;9,76;12,03
2008;13,89;14,95;15,18;14,35;12,97;11,21;8,68;5,91;4,69;7,35;10,34;12,36
2009;13,91;14,81;14,98;14,5;13,19;11,32;8,47;6,14;5,26;6,92;9,77;12,2
2010;13,74;14,58;15,14;14,66;12,87;10,59;8,07;5,87;4,87;6,98;9,61;11,83
2011;13,46;14,36;14,55;14,11;12,68;10,75;7,72;5,5;4,56;6,46;9,77;12,15
2012;13,73;14,55;15,2;14,63;13,01;10,67;7,67;4,72;3,57;5,89;9,39;12,01
2013;13,7;14,72;15,03;14,3;13;11,36;8,13;6,01;5,21;7,45;9,94;12,18
2014;13,65;14,42;14,76;14,09;12,7;11,03;8,11;6,08;5,22;7,23;10,11;12,35
2015;13,6;14,4;14,37;13,89;12,47;10,88;8,38;5,6;4,62;6,97;9,85;12,04